id,product_id,user_name,overall_rating,ratings,text,pipeline_output,created_at
review_0011,health_97392,Qudsiya S.,5,"{""criteria1"": 4, ""criteria2"": 5, ""criteria3"": 4}",The quality is amazing for the price.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.967613619303256}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.932235719758016}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.834405112344246}}}",30:49.1
review_0012,food_68303,Mahi S.,1,"{""criteria1"": 4, ""criteria2"": 5, ""criteria3"": 4}","The packing was fine, but the product could have been better.","{""status"": ""Accepted"", ""sentiment"": {""label"": ""NEGATIVE"", ""score"": 0.948312981478593}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.947934532019962}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.93894186915044}}}",30:49.1
review_0013,food_92937,Bhavna S.,1,,Customer support was not helpful at all.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""NEGATIVE"", ""score"": 0.919644027214354}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.951229655945195}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.891156169034405}}}",30:49.1
review_0014,health_74719,Kavita S.,5,,Will definitely buy from this brand again.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.957735237330175}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.928587382319745}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.864398886784393}}}",30:49.1
review_0015,skincare_28938,Mahi S.,5,,Easy to set up and use. Works perfectly.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.954414963626365}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.931997830690823}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.868813303840526}}}",30:49.1
review_0016,electronics_38519,Mahi S.,,,The engineers who designed this must be idiots,"{""status"": ""Rejected"", ""reason"": ""Abusive content detected"", ""details"": {""label"": ""Offensive"", ""score"": 0.9776575847054}}",30:49.1
review_0017,electronics_92738,Bhavna S.,,,Useless piece of crap,"{""status"": ""Rejected"", ""reason"": ""Abusive content detected"", ""details"": {""label"": ""Offensive"", ""score"": 0.92507052957651}}",30:49.1
review_0018,fashion_52368,Mahi S.,5,,Perfect for daily use. Good build quality.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.974795959877625}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.922825699934}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.919684395495802}}}",30:49.1
review_0019,household_52806,Qudsiya S.,,,"This company is a joke, avoid at all costs","{""status"": ""Rejected"", ""reason"": ""Abusive content detected"", ""details"": {""label"": ""Offensive"", ""score"": 0.981634954523606}}",30:49.1
review_0020,food_70064,Qudsiya S.,4,,Amazing value for money. Very satisfied.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.914868161518665}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.918795044617066}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.912525211274588}}}",30:49.1
review_0021,health_30134,Kavita S.,2,,"The battery life is terrible, lasts only a few hours.","{""status"": ""Accepted"", ""sentiment"": {""label"": ""NEGATIVE"", ""score"": 0.940710648691711}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.94769284415285}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.842088974032673}}}",30:49.1
review_0022,food_88631,Shreeya S.,4,,The quality is amazing for the price.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.944576853260883}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.923238546893144}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.816968567120438}}}",30:49.1
review_0023,health_97392,Qudsiya S.,2,,"It works, but the quality feels a bit cheap.","{""status"": ""Accepted"", ""sentiment"": {""label"": ""NEGATIVE"", ""score"": 0.944150225130704}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.952414176298827}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.904058578559589}}}",30:49.1
review_0024,skincare_96947,Qudsiya S.,4,,"Great product, exactly as described. Fast delivery too.","{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.951140612282659}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.906660718074559}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.936565898985275}}}",30:49.1
review_0025,health_64534,Bhavna S.,5,,The customer service was excellent when I had a question.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.951863484904353}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.908207326741718}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.90665757466543}}}",30:49.1
review_0026,electronics_55775,Shreeya S.,,,I want my money back you thieves,"{""status"": ""Rejected"", ""reason"": ""Abusive content detected"", ""details"": {""label"": ""Offensive"", ""score"": 0.968137171391701}}",30:49.1
review_0027,electronics_38519,Bhavna S.,1,,"The battery life is terrible, lasts only a few hours.","{""status"": ""Accepted"", ""sentiment"": {""label"": ""NEGATIVE"", ""score"": 0.959203910250884}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.982826538897113}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.85714276091449}}}",30:49.1
review_0028,health_14306,Kavita S.,4,,Perfect for daily use. Good build quality.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.933651577763432}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.949467340214026}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.865752571220339}}}",30:49.1
review_0029,household_50728,Kavita S.,,,"This is a miracle product, buy it from my link","{""status"": ""Rejected"", ""reason"": ""Spam detected"", ""details"": {""label"": ""LABEL_0"", ""score"": 0.959173512689053}}",30:49.1
review_0030,health_79861,Mahi S.,5,,"Great product, exactly as described. Fast delivery too.","{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.941943119128444}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.928436457926805}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.873175650822148}}}",30:49.1
review_0031,skincare_59213,Bhavna S.,5,,"Five stars, couldn't be happier with this.","{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.963361842734555}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.985393554266448}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.82461219726724}}}",30:49.1
review_0032,skincare_69942,Bhavna S.,1,,Missing a few parts in the box.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""NEGATIVE"", ""score"": 0.947607623305098}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.966261199923737}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.946831093876336}}}",30:49.1
review_0033,fashion_67405,Qudsiya S.,5,,"Great product, exactly as described. Fast delivery too.","{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.904213751709982}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.916360132333333}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.873067048112283}}}",30:49.1
review_0034,food_38783,Bhavna S.,,,"Earn $1000 a day from home, ask me how","{""status"": ""Rejected"", ""reason"": ""Spam detected"", ""details"": {""label"": ""LABEL_0"", ""score"": 0.956137350048957}}",30:49.1
review_0035,food_60924,Mahi S.,5,,Arrived a day early! Very happy with the purchase.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.984688405882891}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.944021517087075}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.920603227260898}}}",30:49.1
review_0036,electronics_74453,Kavita S.,,,Best crypto investment 2025,"{""status"": ""Rejected"", ""reason"": ""Spam detected"", ""details"": {""label"": ""LABEL_0"", ""score"": 0.953002887203352}}",30:49.1
review_0037,electronics_86075,Shreeya S.,4,,"Five stars, couldn't be happier with this.","{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.94458015803382}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.907262666497832}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.905827647309157}}}",30:49.1
review_0038,skincare_86581,Kavita S.,,,"Don't buy this trash, it's a scam","{""status"": ""Rejected"", ""reason"": ""Abusive content detected"", ""details"": {""label"": ""Offensive"", ""score"": 0.989192262455155}}",30:49.1
review_0039,food_60924,Kavita S.,5,,The customer service was excellent when I had a question.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.909999347842669}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.985905541452384}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.816204506359165}}}",30:49.1
review_0040,health_67246,Kavita S.,2,,Missing a few parts in the box.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""NEGATIVE"", ""score"": 0.948892016298987}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.98904838211111}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.855353158134358}}}",30:49.1
review_0041,food_11796,Qudsiya S.,5,,The quality is amazing for the price.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.933925994182873}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.915822196359147}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.872583459283405}}}",30:49.1
review_0042,skincare_56326,Mahi S.,,,Click here for a free prize!,"{""status"": ""Rejected"", ""reason"": ""Spam detected"", ""details"": {""label"": ""LABEL_0"", ""score"": 0.954288635807727}}",30:49.1
review_0043,household_40529,Bhavna S.,5,,Arrived a day early! Very happy with the purchase.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.928566703207739}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.934062459322379}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.817131032181147}}}",30:49.1
review_0044,health_60902,Qudsiya S.,4,,Arrived a day early! Very happy with the purchase.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.912079901956358}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.973075013062413}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.914280218682029}}}",30:49.1
review_0045,electronics_77569,Bhavna S.,5,,Arrived a day early! Very happy with the purchase.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.982477775289228}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.93536867809893}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.816974327774425}}}",30:49.1
review_0046,electronics_92738,Kavita S.,4,,Perfect for daily use. Good build quality.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.906876284680607}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.975934681945321}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.866477551512734}}}",30:49.1
review_0047,fashion_52368,Bhavna S.,5,,Perfect for daily use. Good build quality.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.973251789336969}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.920553196210561}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.809593675830801}}}",30:49.1
review_0048,food_65259,Qudsiya S.,4,,"Great product, exactly as described. Fast delivery too.","{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.906675710370925}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.901141210923084}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.825159895515079}}}",30:49.1
review_0049,fashion_70169,Shreeya S.,4,,Excellent quality product! Highly recommend.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.935385197029294}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.941805097738387}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.819702049032493}}}",30:49.1
review_0050,electronics_60676,Bhavna S.,,,Message me on WhatsApp for a special offer,"{""status"": ""Rejected"", ""reason"": ""Spam detected"", ""details"": {""label"": ""LABEL_0"", ""score"": 0.973583981990683}}",30:49.1
review_0051,health_50256,Bhavna S.,4,,"Great product, exactly as described. Fast delivery too.","{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.92240569116854}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.947183112044012}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.944085286431498}}}",30:49.1
review_0052,health_77515,Kavita S.,1,,The color is not the same as in the picture.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""NEGATIVE"", ""score"": 0.907002519042484}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.945139644700063}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.905048761275461}}}",30:49.1
review_0053,fashion_19538,Mahi S.,4,,Easy to set up and use. Works perfectly.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.925765798766635}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.958020474088636}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.823817280987071}}}",30:49.1
review_0054,food_65259,Bhavna S.,2,,"Arrived later than expected, which was frustrating.","{""status"": ""Accepted"", ""sentiment"": {""label"": ""NEGATIVE"", ""score"": 0.964188774393032}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.959951406836576}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.845615764235649}}}",30:49.1
review_0055,fashion_68760,Bhavna S.,5,,"Great product, exactly as described. Fast delivery too.","{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.922114420920085}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.963233793227076}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.861058971184439}}}",30:49.1
review_0056,household_33326,Kavita S.,1,,The color is not the same as in the picture.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""NEGATIVE"", ""score"": 0.939464820589863}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.912433219084217}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.914175341592489}}}",30:49.1
review_0057,health_30134,Kavita S.,,,"This company is a joke, avoid at all costs","{""status"": ""Rejected"", ""reason"": ""Abusive content detected"", ""details"": {""label"": ""Offensive"", ""score"": 0.977220008440448}}",30:49.1
review_0058,electronics_74299,Bhavna S.,,,Useless piece of crap,"{""status"": ""Rejected"", ""reason"": ""Abusive content detected"", ""details"": {""label"": ""Offensive"", ""score"": 0.959726751324379}}",30:49.1
review_0059,household_80725,Shreeya S.,5,,Looks even better in person than in the photos.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.962622352484395}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.94659909817722}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.848345016148238}}}",30:49.1
review_0060,skincare_70314,Kavita S.,4,,Easy to set up and use. Works perfectly.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.960240317022203}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.935723670567159}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.857560280955178}}}",30:49.1
review_0061,household_55211,Bhavna S.,2,,Customer support was not helpful at all.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""NEGATIVE"", ""score"": 0.924676920549271}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.945549472106044}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.865072355344637}}}",30:49.1
review_0062,fashion_76413,Mahi S.,5,,"Great product, exactly as described. Fast delivery too.","{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.982730874777646}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.908167993086837}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.885898109554954}}}",30:49.1
review_0063,food_63470,Shreeya S.,2,,Customer support was not helpful at all.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""NEGATIVE"", ""score"": 0.982958103997916}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.914315079844598}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.868690210043252}}}",30:49.1
review_0064,health_77515,Bhavna S.,5,,"Great product, exactly as described. Fast delivery too.","{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.985916935647292}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.932264444972611}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.805019419113646}}}",30:49.2
review_0065,fashion_99052,Kavita S.,4,,Easy to set up and use. Works perfectly.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.969273341760785}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.948058231051726}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.927262519287357}}}",30:49.2
review_0066,skincare_77342,Kavita S.,5,,Amazing value for money. Very satisfied.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.921742509628545}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.973628348274918}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.846623028089783}}}",30:49.2
review_0067,household_33326,Mahi S.,1,,The instructions were confusing and hard to follow.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""NEGATIVE"", ""score"": 0.939952287857454}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.955852167956659}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.838255388337679}}}",30:49.2
review_0068,fashion_59724,Bhavna S.,,,Fucker,"{""status"": ""Rejected"", ""reason"": ""Abusive content detected"", ""details"": {""label"": ""Offensive"", ""score"": 0.916872955257005}}",30:49.2
review_0069,household_40529,Kavita S.,,,!!! LIMITED TIME OFFER CLICK NOW !!!,"{""status"": ""Rejected"", ""reason"": ""Spam detected"", ""details"": {""label"": ""LABEL_0"", ""score"": 0.958470379652407}}",30:49.2
review_0070,food_25499,Qudsiya S.,5,,It exceeded my expectations. Fantastic!,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.917379885599049}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.946922661972629}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.87420169642994}}}",30:49.2
review_0071,health_30103,Mahi S.,5,,Arrived a day early! Very happy with the purchase.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.932533032141595}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.919973927799502}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.811731264253946}}}",30:49.2
review_0072,electronics_87253,Mahi S.,,,Worst thing I have ever bought in my life,"{""status"": ""Rejected"", ""reason"": ""Abusive content detected"", ""details"": {""label"": ""Offensive"", ""score"": 0.942128254818329}}",30:49.2
review_0073,health_35035,Shreeya S.,2,,Customer support was not helpful at all.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""NEGATIVE"", ""score"": 0.919037302784559}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.966573287840001}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.806731989388304}}}",30:49.2
review_0074,household_96720,Shreeya S.,2,,The material feels cheap and flimsy.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""NEGATIVE"", ""score"": 0.976741154101773}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.975257067341302}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.945081063691161}}}",30:49.2
review_0075,health_37019,Qudsiya S.,5,,Will definitely buy from this brand again.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.980921240805021}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.98953215625898}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.894838831113447}}}",30:49.2
review_0076,food_73161,Shreeya S.,,,"You have won a lottery, click to claim","{""status"": ""Rejected"", ""reason"": ""Spam detected"", ""details"": {""label"": ""LABEL_0"", ""score"": 0.975324004718862}}",30:49.2
review_0077,fashion_53703,Kavita S.,,,Free gifts for the first 100 customers -> [scam-link],"{""status"": ""Rejected"", ""reason"": ""Spam detected"", ""details"": {""label"": ""LABEL_0"", ""score"": 0.978207005980656}}",30:49.2
review_0078,fashion_99052,Qudsiya S.,,,"This is a miracle product, buy it from my link","{""status"": ""Rejected"", ""reason"": ""Spam detected"", ""details"": {""label"": ""LABEL_0"", ""score"": 0.96937077186878}}",30:49.2
review_0079,health_64534,Qudsiya S.,,,Free gifts for the first 100 customers -> [scam-link],"{""status"": ""Rejected"", ""reason"": ""Spam detected"", ""details"": {""label"": ""LABEL_0"", ""score"": 0.970050879131134}}",30:49.2
review_0080,health_91099,Qudsiya S.,2,,"The battery life is terrible, lasts only a few hours.","{""status"": ""Accepted"", ""sentiment"": {""label"": ""NEGATIVE"", ""score"": 0.977593980178458}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.901977801250845}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.923992867645658}}}",30:49.2
review_0081,household_37640,Shreeya S.,4,,My new favorite! I use it every day.,"{""status"": ""Accepted"", ""sentiment"": {""label"": ""POSITIVE"", ""score"": 0.927047496049837}, ""details"": {""spam_check"": {""label"": ""ham"", ""score"": 0.90698557435478}, ""keyword_flag"": false, ""abuse_check"": {""label"": ""non-offensive"", ""score"": 0.931606976366209}}}",30:49.2
