id,name,brand,category,subcategory,description,price,currency,image_url,barcode,specifications,made_in_india,eco_friendly,FSSAI_certified,avg_overall_rating,avg_rating_criteria1,avg_rating_criteria2,avg_rating_criteria3,total_reviews,total_complaints,risk_score,source,created_at
fashion_20077,Gritstones Men Navy Blue T-shirt,Gritstones,Fashion,Topwear,Gritstones Men Navy Blue T-shirt - Premium quality Topwear,3448.39,INR,images/fashion/gritstones_men_navy_blue_t-shirt.jpg,8.99674E+11,"{'gender': 'Unisex', 'season': 'All Season', 'color': 'Brown'}",FALSE,FALSE,FALSE,3.9,3.8,3.8,3.5,183,2,0.1,Fashion Dataset (Synthetic),16:53.3
fashion_32172,Nike Men Black T-shirt,Nike,Fashion,Topwear,Nike Men Black T-shirt - Premium quality Topwear,620.11,INR,images/fashion/nike_men_black_t-shirt.jpg,8.94029E+11,"{'gender': 'Men', 'season': 'All Season', 'color': 'Multi'}",FALSE,FALSE,FALSE,2.9,2.9,2.7,2.6,82,3,0.4,Fashion Dataset (Synthetic),16:53.3
fashion_84180,Celio Men Brown Casual Shoes,Celio,Fashion,Shoes,Celio Men Brown Casual Shoes - Premium quality Shoes,4155.01,INR,images/fashion/celio_men_brown_casual_shoes.jpg,8.95522E+11,"{'gender': 'Men', 'season': 'All Season', 'color': 'Blue'}",FALSE,FALSE,FALSE,3.8,3.8,3.6,3.4,158,7,0.4,Fashion Dataset (Synthetic),16:53.3
fashion_48721,ADIDAS Men Response T-shirt,ADIDAS,Fashion,Topwear,ADIDAS Men Response T-shirt - Premium quality Topwear,4008.69,INR,images/fashion/adidas_men_response_t-shirt.jpg,8.94278E+11,"{'gender': 'Boys', 'season': 'All Season', 'color': 'Black'}",FALSE,FALSE,FALSE,3.5,3.4,3.8,3.7,126,3,0.2,Fashion Dataset (Synthetic),16:53.3
fashion_33943,Flying Machine Men Blue Jeans,Flying Machine,Fashion,Bottomwear,Flying Machine Men Blue Jeans - Premium quality Bottomwear,1877.41,INR,images/fashion/flying_machine_men_blue_jeans.jpg,8.96898E+11,"{'gender': 'Girls', 'season': 'All Season', 'color': 'Blue'}",FALSE,FALSE,FALSE,3.6,3.5,3.9,3.2,13,0,0,Fashion Dataset (Synthetic),16:53.3
fashion_72080,Puma Unisex Black Flip-Flops,Puma,Fashion,Sandal,Puma Unisex Black Flip-Flops - Premium quality Sandal,4907.21,INR,images/fashion/puma_unisex_black_flip-flops.jpg,8.98705E+11,"{'gender': 'Women', 'season': 'All Season', 'color': 'Brown'}",FALSE,FALSE,FALSE,4.1,4.3,4.5,4.1,111,1,0.1,Fashion Dataset (Synthetic),16:53.3
fashion_43154,United Colors of Benetton Men T-shirt,United Colors of Benetton,Fashion,Topwear,United Colors of Benetton Men T-shirt - Premium quality Topwear,2552.54,INR,images/fashion/united_colors_of_benetton_men_t-shirt.jpg,8.95158E+11,"{'gender': 'Unisex', 'season': 'All Season', 'color': 'Blue'}",TRUE,FALSE,FALSE,4,4,3.8,4.3,224,9,0.4,Fashion Dataset (Synthetic),16:53.3
fashion_27517,Raymond Men Blue Formal Shirt,Raymond,Fashion,Topwear,Raymond Men Blue Formal Shirt - Premium quality Topwear,4520.42,INR,images/fashion/raymond_men_blue_formal_shirt.jpg,8.9511E+11,"{'gender': 'Girls', 'season': 'All Season', 'color': 'White'}",TRUE,FALSE,FALSE,3.3,3.8,3.3,3.7,231,6,0.3,Fashion Dataset (Synthetic),16:53.3
fashion_42051,Casio Women Gold Watch,Casio,Fashion,Watches,Casio Women Gold Watch - Premium quality Watches,3926.2,INR,images/fashion/casio_women_gold_watch.jpg,8.96655E+11,"{'gender': 'Girls', 'season': 'All Season', 'color': 'Red'}",TRUE,FALSE,FALSE,5,4.9,5,5,259,8,0.3,Fashion Dataset (Synthetic),16:53.3
fashion_25044,Lee Men Blue Jeans,Lee,Fashion,Bottomwear,Lee Men Blue Jeans - Premium quality Bottomwear,4322.25,INR,images/fashion/lee_men_blue_jeans.jpg,8.93909E+11,"{'gender': 'Girls', 'season': 'All Season', 'color': 'Black'}",FALSE,FALSE,FALSE,4.9,5,4.7,5,225,8,0.4,Fashion Dataset (Synthetic),16:53.3
fashion_25657,Timberland Men Brown Formal Shoes,Timberland,Fashion,Shoes,Timberland Men Brown Formal Shoes - Premium quality Shoes,3253.21,INR,images/fashion/timberland_men_brown_formal_shoes.jpg,8.98715E+11,"{'gender': 'Girls', 'season': 'All Season', 'color': 'Blue'}",TRUE,FALSE,FALSE,2.4,2.1,2,1.9,143,5,0.3,Fashion Dataset (Synthetic),16:53.3
fashion_70375,U.S. Polo Assn. Men Solid Polo T-shirt,U.S. Polo Assn.,Fashion,Topwear,U.S. Polo Assn. Men Solid Polo T-shirt - Premium quality Topwear,4361.25,INR,images/fashion/u.s._polo_assn._men_solid_polo_t-shirt.jpg,8.97252E+11,"{'gender': 'Women', 'season': 'All Season', 'color': 'Brown'}",TRUE,FALSE,FALSE,4.9,4.7,5,5,294,13,0.4,Fashion Dataset (Synthetic),16:53.3
fashion_41975,Fastrack Men Black Watch,Fastrack,Fashion,Watches,Fastrack Men Black Watch - Premium quality Watches,643.99,INR,images/fashion/fastrack_men_black_watch.jpg,8.97551E+11,"{'gender': 'Boys', 'season': 'All Season', 'color': 'Brown'}",TRUE,FALSE,FALSE,3,3,3.3,2.7,268,12,0.4,Fashion Dataset (Synthetic),16:53.3
fashion_50029,Yepme Women Printed White Top,Yepme,Fashion,Topwear,Yepme Women Printed White Top - Premium quality Topwear,524.77,INR,images/fashion/yepme_women_printed_white_top.jpg,8.98909E+11,"{'gender': 'Men', 'season': 'All Season', 'color': 'Multi'}",FALSE,FALSE,FALSE,5,4.8,4.7,5,80,3,0.4,Fashion Dataset (Synthetic),16:53.3
fashion_14072,Wildcraft Unisex Grey Backpack,Wildcraft,Fashion,Bags,Wildcraft Unisex Grey Backpack - Premium quality Bags,731.47,INR,images/fashion/wildcraft_unisex_grey_backpack.jpg,8.93279E+11,"{'gender': 'Girls', 'season': 'All Season', 'color': 'Red'}",TRUE,FALSE,FALSE,4.6,4.9,4.6,4.6,210,6,0.3,Fashion Dataset (Synthetic),16:53.3
fashion_96027,Arrow Men Blue Striped Formal Shirt,Arrow,Fashion,Topwear,Arrow Men Blue Striped Formal Shirt - Premium quality Topwear,4272.18,INR,images/fashion/arrow_men_blue_striped_formal_shirt.jpg,8.94532E+11,"{'gender': 'Men', 'season': 'All Season', 'color': 'Black'}",TRUE,FALSE,FALSE,5,5,4.9,4.9,272,9,0.3,Fashion Dataset (Synthetic),16:53.3
fashion_78078,Reebok Men Black Running Shoes,Reebok,Fashion,Shoes,Reebok Men Black Running Shoes - Premium quality Shoes,1126.44,INR,images/fashion/reebok_men_black_running_shoes.jpg,8.93437E+11,"{'gender': 'Women', 'season': 'All Season', 'color': 'Brown'}",FALSE,FALSE,FALSE,4.1,4.4,4.2,4,267,11,0.4,Fashion Dataset (Synthetic),16:53.3
fashion_42374,Fila Men Graphic Print T-shirt,Fila,Fashion,Topwear,Fila Men Graphic Print T-shirt - Premium quality Topwear,1576.92,INR,images/fashion/fila_men_graphic_print_t-shirt.jpg,8.97672E+11,"{'gender': 'Girls', 'season': 'All Season', 'color': 'White'}",TRUE,FALSE,FALSE,3.9,4.1,4.3,3.7,183,2,0.1,Fashion Dataset (Synthetic),16:53.3
fashion_88447,Baggit Women Brown Handbag,Baggit,Fashion,Bags,Baggit Women Brown Handbag - Premium quality Bags,2158.32,INR,images/fashion/baggit_women_brown_handbag.jpg,8.91007E+11,"{'gender': 'Men', 'season': 'All Season', 'color': 'Red'}",FALSE,FALSE,FALSE,4.5,4.3,4.8,4.2,66,1,0.2,Fashion Dataset (Synthetic),16:53.3
fashion_53703,John Players Men Slim Fit Blue Jeans,John Players,Fashion,Bottomwear,John Players Men Slim Fit Blue Jeans - Premium quality Bottomwear,4562.94,INR,images/fashion/john_players_men_slim_fit_blue_jeans.jpg,8.94378E+11,"{'gender': 'Boys', 'season': 'All Season', 'color': 'Black'}",TRUE,FALSE,FALSE,4.1,4.5,4.2,4.3,187,7,0.4,Fashion Dataset (Synthetic),16:53.3
fashion_52047,Indian Terrain Men Blue Casual Shirt,Indian Terrain,Fashion,Topwear,Indian Terrain Men Blue Casual Shirt - Premium quality Topwear,3548.4,INR,images/fashion/indian_terrain_men_blue_casual_shirt.jpg,8.97856E+11,"{'gender': 'Women', 'season': 'All Season', 'color': 'Multi'}",TRUE,FALSE,FALSE,3.6,3.5,3.5,3.5,52,1,0.2,Fashion Dataset (Synthetic),16:53.3
fashion_75213,Caprese Women Red Wallet,Caprese,Fashion,Accessories,Caprese Women Red Wallet - Premium quality Accessories,1556.41,INR,images/fashion/caprese_women_red_wallet.jpg,8.94896E+11,"{'gender': 'Men', 'season': 'All Season', 'color': 'Blue'}",TRUE,FALSE,FALSE,3.6,3.6,3.2,3.5,91,0,0,Fashion Dataset (Synthetic),16:53.3
fashion_75772,Puma Unisex Black & Red Socks,Puma,Fashion,Socks,Puma Unisex Black & Red Socks - Premium quality Socks,2449.12,INR,images/fashion/puma_unisex_black_&_red_socks.jpg,8.95513E+11,"{'gender': 'Women', 'season': 'All Season', 'color': 'Red'}",FALSE,FALSE,FALSE,2.7,2.2,2.9,2.6,151,2,0.1,Fashion Dataset (Synthetic),16:53.3
fashion_21715,Wrangler Men Blue Jeans,Wrangler,Fashion,Bottomwear,Wrangler Men Blue Jeans - Premium quality Bottomwear,2372.3,INR,images/fashion/wrangler_men_blue_jeans.jpg,8.99268E+11,"{'gender': 'Boys', 'season': 'All Season', 'color': 'Black'}",FALSE,FALSE,FALSE,3.7,3.5,3.4,3.5,262,5,0.2,Fashion Dataset (Synthetic),16:53.3
fashion_46911,Mufti Men Check Blue Shirt,Mufti,Fashion,Topwear,Mufti Men Check Blue Shirt - Premium quality Topwear,4542.2,INR,images/fashion/mufti_men_check_blue_shirt.jpg,8.99025E+11,"{'gender': 'Boys', 'season': 'All Season', 'color': 'Brown'}",FALSE,FALSE,FALSE,3.1,3.2,3.5,3,166,2,0.1,Fashion Dataset (Synthetic),16:53.3
fashion_32423,Fossil Women Silver Watch,Fossil,Fashion,Watches,Fossil Women Silver Watch - Premium quality Watches,3184.03,INR,images/fashion/fossil_women_silver_watch.jpg,8.95874E+11,"{'gender': 'Unisex', 'season': 'All Season', 'color': 'Red'}",FALSE,FALSE,FALSE,4.1,4.3,4.5,3.8,299,13,0.4,Fashion Dataset (Synthetic),16:53.3
fashion_64005,ID Men Black Leather Sandals,ID,Fashion,Sandal,ID Men Black Leather Sandals - Premium quality Sandal,782.22,INR,images/fashion/id_men_black_leather_sandals.jpg,8.97048E+11,"{'gender': 'Unisex', 'season': 'All Season', 'color': 'Blue'}",FALSE,FALSE,FALSE,3.4,3.8,3.6,3.7,278,10,0.4,Fashion Dataset (Synthetic),16:53.3
fashion_88701,Carlton London Women Beige Heels,Carlton London,Fashion,Shoes,Carlton London Women Beige Heels - Premium quality Shoes,1301.9,INR,images/fashion/carlton_london_women_beige_heels.jpg,8.98033E+11,"{'gender': 'Boys', 'season': 'All Season', 'color': 'Brown'}",FALSE,FALSE,FALSE,4.4,4.7,4.4,4,57,1,0.2,Fashion Dataset (Synthetic),16:53.3
fashion_53571,Cherokee Girls Printed Top,Cherokee,Fashion,Topwear,Cherokee Girls Printed Top - Premium quality Topwear,2353.32,INR,images/fashion/cherokee_girls_printed_top.jpg,8.97359E+11,"{'gender': 'Men', 'season': 'All Season', 'color': 'Brown'}",TRUE,FALSE,FALSE,3.5,3.6,3.1,3.7,104,4,0.4,Fashion Dataset (Synthetic),16:53.3
fashion_85587,Scullers Men Navy Blue Trousers,Scullers,Fashion,Bottomwear,Scullers Men Navy Blue Trousers - Premium quality Bottomwear,4354.37,INR,images/fashion/scullers_men_navy_blue_trousers.jpg,8.99159E+11,"{'gender': 'Men', 'season': 'All Season', 'color': 'White'}",TRUE,FALSE,FALSE,3.9,3.5,4.3,4,70,0,0,Fashion Dataset (Synthetic),16:53.3
fashion_19538,Locomotive Men Washed Blue Jeans,Locomotive,Fashion,Bottomwear,Locomotive Men Washed Blue Jeans - Premium quality Bottomwear,3563.71,INR,images/fashion/locomotive_men_washed_blue_jeans.jpg,8.95854E+11,"{'gender': 'Women', 'season': 'All Season', 'color': 'Brown'}",FALSE,FALSE,FALSE,4.5,4.5,4.4,4.4,223,8,0.4,Fashion Dataset (Synthetic),16:53.3
fashion_68760,Do U Speak Green Men Graphic T-shirt,Do U Speak Green,Fashion,Topwear,Do U Speak Green Men Graphic T-shirt - Premium quality Topwear,1985.82,INR,images/fashion/do_u_speak_green_men_graphic_t-shirt.jpg,8.91779E+11,"{'gender': 'Boys', 'season': 'All Season', 'color': 'White'}",FALSE,FALSE,FALSE,5,5,5,5,1,0,0,Fashion Dataset (Synthetic),16:53.3
fashion_52368,Van Heusen Men Black Formal Trousers,Van Heusen,Fashion,Bottomwear,Van Heusen Men Black Formal Trousers - Premium quality Bottomwear,2311.63,INR,images/fashion/van_heusen_men_black_formal_trousers.jpg,8.953E+11,"{'gender': 'Women', 'season': 'All Season', 'color': 'Brown'}",TRUE,FALSE,FALSE,4.7,4.2,4.2,4.5,290,12,0.4,Fashion Dataset (Synthetic),16:53.3
fashion_63384,Tommy Hilfiger Men Blue Wallet,Tommy Hilfiger,Fashion,Accessories,Tommy Hilfiger Men Blue Wallet - Premium quality Accessories,4124.02,INR,images/fashion/tommy_hilfiger_men_blue_wallet.jpg,8.99483E+11,"{'gender': 'Unisex', 'season': 'All Season', 'color': 'Black'}",TRUE,FALSE,FALSE,3.9,3.7,3.5,4.1,150,7,0.5,Fashion Dataset (Synthetic),16:53.3
fashion_59724,Slazenger Men Grey T-shirt,Slazenger,Fashion,Topwear,Slazenger Men Grey T-shirt - Premium quality Topwear,1066.2,INR,images/fashion/slazenger_men_grey_t-shirt.jpg,8.9891E+11,"{'gender': 'Men', 'season': 'All Season', 'color': 'Brown'}",FALSE,FALSE,FALSE,3.5,3.6,3.3,3.5,12,0,0,Fashion Dataset (Synthetic),16:53.3
fashion_20405,Being Human Men Checkered Red Shirt,Being Human,Fashion,Topwear,Being Human Men Checkered Red Shirt - Premium quality Topwear,2716.2,INR,images/fashion/being_human_men_checkered_red_shirt.jpg,8.95475E+11,"{'gender': 'Unisex', 'season': 'All Season', 'color': 'Black'}",TRUE,FALSE,FALSE,4.4,4.2,4.5,4,202,3,0.1,Fashion Dataset (Synthetic),16:53.3
fashion_83160,Yepme Men Brown Loafers,Yepme,Fashion,Shoes,Yepme Men Brown Loafers - Premium quality Shoes,2866.03,INR,images/fashion/yepme_men_brown_loafers.jpg,8.98971E+11,"{'gender': 'Unisex', 'season': 'All Season', 'color': 'Brown'}",TRUE,FALSE,FALSE,4.3,4.8,4.8,4,80,3,0.4,Fashion Dataset (Synthetic),16:53.3
fashion_67405,Lino Perros Women Black Handbag,Lino Perros,Fashion,Bags,Lino Perros Women Black Handbag - Premium quality Bags,2044.13,INR,images/fashion/lino_perros_women_black_handbag.jpg,8.96731E+11,"{'gender': 'Men', 'season': 'All Season', 'color': 'Multi'}",FALSE,FALSE,FALSE,3.7,3.4,3.2,3.9,118,4,0.3,Fashion Dataset (Synthetic),16:53.3
fashion_20133,Pepe Jeans Kids Girls Blue Jeans,Pepe Jeans Kids,Fashion,Bottomwear,Pepe Jeans Kids Girls Blue Jeans - Premium quality Bottomwear,1320.78,INR,images/fashion/pepe_jeans_kids_girls_blue_jeans.jpg,8.9666E+11,"{'gender': 'Unisex', 'season': 'All Season', 'color': 'Black'}",FALSE,FALSE,FALSE,3.8,3.7,3.9,3.3,165,5,0.3,Fashion Dataset (Synthetic),16:53.3
fashion_43263,Jockey Men Pack of 2 Socks,Jockey,Fashion,Socks,Jockey Men Pack of 2 Socks - Premium quality Socks,1662.39,INR,images/fashion/jockey_men_pack_of_2_socks.jpg,8.98998E+11,"{'gender': 'Unisex', 'season': 'All Season', 'color': 'Multi'}",FALSE,FALSE,FALSE,3.9,4,3.6,4.4,21,0,0,Fashion Dataset (Synthetic),16:53.3
food_14886,Organic Quinoa Grain,HealthyHarvest,Food & Beverages,Grains,Premium quality organic quinoa grain sourced from trusted suppliers.,638.52,INR,images/food/organic_quinoa_grain.jpg,8.92688E+11,"{'weight_volume': '500ml', 'shelf_life': '1 year', 'is_vegetarian': True}",TRUE,FALSE,FALSE,5,5,4.7,4.8,179,7,0.4,Food Dataset (Synthetic),17:15.8
food_56400,Fresh Farm Eggs,DesiPoultry,Food & Beverages,Dairy & Eggs,Premium quality fresh farm eggs sourced from trusted suppliers.,386.89,INR,images/food/fresh_farm_eggs.jpg,8.99082E+11,"{'weight_volume': '250g', 'shelf_life': '6 months', 'is_vegetarian': True}",TRUE,FALSE,TRUE,4.8,4.7,4.6,5,124,2,0.2,Food Dataset (Synthetic),17:15.8
food_73922,Artisan Sourdough Bread,BreadCraft,Food & Beverages,Bakery,Premium quality artisan sourdough bread sourced from trusted suppliers.,349.16,INR,images/food/artisan_sourdough_bread.jpg,8.95036E+11,"{'weight_volume': '500g', 'shelf_life': '1 year', 'is_vegetarian': True}",TRUE,FALSE,FALSE,4.4,4.2,4.6,4.2,283,3,0.1,Food Dataset (Synthetic),17:15.8
food_94584,Premium Basmati Rice,GoldenGrains,Food & Beverages,Grains,Premium quality premium basmati rice sourced from trusted suppliers.,341.55,INR,images/food/premium_basmati_rice.jpg,8.93275E+11,"{'weight_volume': '200ml', 'shelf_life': '1 year', 'is_vegetarian': True}",TRUE,FALSE,TRUE,5,5,5,4.8,176,4,0.2,Food Dataset (Synthetic),17:15.8
food_69955,Cold-Pressed Virgin Coconut Oil,TropicalPure,Food & Beverages,Cooking Oil,Premium quality cold-pressed virgin coconut oil sourced from trusted suppliers.,843.62,INR,images/food/cold-pressed_virgin_coconut_oil.jpg,8.95491E+11,"{'weight_volume': '1kg', 'shelf_life': '2 years', 'is_vegetarian': True}",FALSE,FALSE,TRUE,2.9,3.2,2.6,2.6,216,4,0.2,Food Dataset (Synthetic),17:15.8
food_47686,Almond Milk Unsweetened,NutriMilk,Food & Beverages,Dairy Alternatives,Premium quality almond milk unsweetened sourced from trusted suppliers.,111.56,INR,images/food/almond_milk_unsweetened.jpg,8.92272E+11,"{'weight_volume': '500ml', 'shelf_life': '6 months', 'is_vegetarian': True}",TRUE,FALSE,TRUE,3,2.6,3.4,3.3,48,2,0.4,Food Dataset (Synthetic),17:15.8
food_19241,Green Tea Premium,TeaGarden,Food & Beverages,Beverages,Premium quality green tea premium sourced from trusted suppliers.,789.9,INR,images/food/green_tea_premium.jpg,8.93702E+11,"{'weight_volume': '500g', 'shelf_life': '2 years', 'is_vegetarian': True}",TRUE,FALSE,FALSE,3.2,3.5,3.3,3.4,290,4,0.1,Food Dataset (Synthetic),17:15.8
food_49826,Organic Honey Raw,BeeSweet,Food & Beverages,Sweeteners,Premium quality organic honey raw sourced from trusted suppliers.,104.81,INR,images/food/organic_honey_raw.jpg,8.91063E+11,"{'weight_volume': '500ml', 'shelf_life': '1 year', 'is_vegetarian': True}",FALSE,FALSE,TRUE,3.3,3.2,3.1,3.5,12,0,0,Food Dataset (Synthetic),17:15.8
food_64377,Whole Wheat Pasta,HealthyEats,Food & Beverages,Pasta & Noodles,Premium quality whole wheat pasta sourced from trusted suppliers.,134.82,INR,images/food/whole_wheat_pasta.jpg,8.92052E+11,"{'weight_volume': '1kg', 'shelf_life': '2 years', 'is_vegetarian': True}",TRUE,FALSE,FALSE,4.3,4.2,4.6,3.9,183,4,0.2,Food Dataset (Synthetic),17:15.8
food_39033,Dark Chocolate 70%,CocoaRich,Food & Beverages,Confectionery,Premium quality dark chocolate 70% sourced from trusted suppliers.,346.08,INR,images/food/dark_chocolate_70%.jpg,8.948E+11,"{'weight_volume': '1kg', 'shelf_life': '6 months', 'is_vegetarian': True}",TRUE,FALSE,TRUE,3.9,3.7,3.8,3.7,263,3,0.1,Food Dataset (Synthetic),17:15.8
food_59103,Organic Apple Cider Vinegar,PureVinegar,Food & Beverages,Condiments,Premium quality organic apple cider vinegar sourced from trusted suppliers.,497.17,INR,images/food/organic_apple_cider_vinegar.jpg,8.94182E+11,"{'weight_volume': '250g', 'shelf_life': '6 months', 'is_vegetarian': True}",FALSE,FALSE,FALSE,4.9,4.6,5,4.9,197,4,0.2,Food Dataset (Synthetic),17:15.8
food_77558,Masala Chai Tea Bags,SpiceTea,Food & Beverages,Beverages,Premium quality masala chai tea bags sourced from trusted suppliers.,861,INR,images/food/masala_chai_tea_bags.jpg,8.96043E+11,"{'weight_volume': '1kg', 'shelf_life': '6 months', 'is_vegetarian': True}",TRUE,FALSE,FALSE,4.6,4.4,4.4,4.9,281,10,0.4,Food Dataset (Synthetic),17:15.8
food_48388,Peanut Butter Crunchy,NutSpread,Food & Beverages,Spreads,Premium quality peanut butter crunchy sourced from trusted suppliers.,480.36,INR,images/food/peanut_butter_crunchy.jpg,8.92226E+11,"{'weight_volume': '1kg', 'shelf_life': '2 years', 'is_vegetarian': True}",FALSE,FALSE,TRUE,5,4.6,4.7,5,270,8,0.3,Food Dataset (Synthetic),17:15.8
food_32205,Coconut Water Natural,TropicalFresh,Food & Beverages,Beverages,Premium quality coconut water natural sourced from trusted suppliers.,676.36,INR,images/food/coconut_water_natural.jpg,8.92657E+11,"{'weight_volume': '500g', 'shelf_life': '2 years', 'is_vegetarian': True}",FALSE,FALSE,TRUE,3.6,3.9,3.2,3.7,259,4,0.2,Food Dataset (Synthetic),17:15.8
food_94788,Oats Steel Cut,HealthyMorning,Food & Beverages,Cereals,Premium quality oats steel cut sourced from trusted suppliers.,607.31,INR,images/food/oats_steel_cut.jpg,8.95372E+11,"{'weight_volume': '200ml', 'shelf_life': '2 years', 'is_vegetarian': True}",TRUE,FALSE,FALSE,4.6,4.6,4.9,4.4,96,2,0.2,Food Dataset (Synthetic),17:15.8
food_42647,Turmeric Powder Organic,SpiceGarden,Food & Beverages,Spices,Premium quality turmeric powder organic sourced from trusted suppliers.,153.09,INR,images/food/turmeric_powder_organic.jpg,8.93694E+11,"{'weight_volume': '1kg', 'shelf_life': '1 year', 'is_vegetarian': True}",FALSE,FALSE,FALSE,4.3,4.6,4.5,4.2,42,0,0,Food Dataset (Synthetic),17:15.8
food_35514,Ghee Pure Cow,DesiGhee,Food & Beverages,Dairy,Premium quality ghee pure cow sourced from trusted suppliers.,693.25,INR,images/food/ghee_pure_cow.jpg,8.9917E+11,"{'weight_volume': '250g', 'shelf_life': '2 years', 'is_vegetarian': True}",FALSE,FALSE,TRUE,3.4,3.3,3.6,3.4,255,4,0.2,Food Dataset (Synthetic),17:15.8
food_53823,Millet Flour Multi-grain,AncientGrains,Food & Beverages,Flour,Premium quality millet flour multi-grain sourced from trusted suppliers.,336.36,INR,images/food/millet_flour_multi-grain.jpg,8.99878E+11,"{'weight_volume': '250g', 'shelf_life': '1 year', 'is_vegetarian': True}",TRUE,FALSE,FALSE,5,4.9,5,5,113,5,0.4,Food Dataset (Synthetic),17:15.8
food_60924,Jaggery Blocks Organic,SweetNatural,Food & Beverages,Sweeteners,Premium quality jaggery blocks organic sourced from trusted suppliers.,895.12,INR,images/food/jaggery_blocks_organic.jpg,8.93532E+11,"{'weight_volume': '500g', 'shelf_life': '6 months', 'is_vegetarian': True}",FALSE,FALSE,TRUE,4.2,3.7,4.7,4.5,6,0,0,Food Dataset (Synthetic),17:15.8
