id,product_id,productName,selectedIssues,severityLevel,incidentDate,title,description,upvotes,status,created_at
complaint_0037,skincare_28938,Collagen Face Cream,"[""safety""]",high,2025-06-02,Safety Issue: Collagen Face Cream,Safety Issue: Collagen Face Cream. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,22,investigating,30:49.5
complaint_0038,electronics_57228,Phone Stand Adjustable,"[""safety""]",medium,2025-08-21,Safety Issue: Phone Stand Adjustable,Safety Issue: Phone Stand Adjustable. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,21,pending,30:49.5
complaint_0039,household_87261,Pepper Mill Adjustable,"[""quality""]",low,2025-05-02,Quality Issue: Pepper Mill Adjustable,Quality Issue: Pepper Mill Adjustable. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,14,resolved,30:49.5
complaint_0040,skincare_57229,Neem Face Pack,"[""safety""]",low,2025-07-28,Safety Issue: Neem Face Pack,Safety Issue: Neem Face Pack. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,16,pending,30:49.5
complaint_0041,skincare_56326,Jojoba Oil Natural,"[""quality""]",low,2025-06-28,Quality Issue: Jojoba Oil Natural,Quality Issue: Jojoba Oil Natural. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,24,resolved,30:49.5
complaint_0042,fashion_27517,Raymond Men Blue Formal Shirt,"[""safety""]",low,2025-06-15,Safety Issue: Raymond Men Blue Formal Shirt,Safety Issue: Raymond Men Blue Formal Shirt. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,25,investigating,30:49.5
complaint_0043,fashion_84180,Celio Men Brown Casual Shoes,"[""quality""]",medium,2025-05-25,Quality Issue: Celio Men Brown Casual Shoes,Quality Issue: Celio Men Brown Casual Shoes. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,14,pending,30:49.5
complaint_0044,health_64785,Saw Palmetto Extract,"[""misleading""]",low,2025-06-27,Misleading Issue: Saw Palmetto Extract,Misleading Issue: Saw Palmetto Extract. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,9,investigating,30:49.5
complaint_0045,fashion_41975,Fastrack Men Black Watch,"[""misleading""]",low,2025-08-21,Misleading Issue: Fastrack Men Black Watch,Misleading Issue: Fastrack Men Black Watch. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,9,resolved,30:49.5
complaint_0046,skincare_30657,Body Lotion Aloe Vera,"[""quality""]",low,2025-07-23,Quality Issue: Body Lotion Aloe Vera,Quality Issue: Body Lotion Aloe Vera. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,21,resolved,30:49.5
complaint_0047,fashion_46911,Mufti Men Check Blue Shirt,"[""quality""]",high,2025-05-01,Quality Issue: Mufti Men Check Blue Shirt,Quality Issue: Mufti Men Check Blue Shirt. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,1,investigating,30:49.5
complaint_0048,fashion_70169,Mark Taylor Men Check Purple Shirt,"[""quality""]",medium,2025-06-30,Quality Issue: Mark Taylor Men Check Purple Shirt,Quality Issue: Mark Taylor Men Check Purple Shirt. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,5,resolved,30:49.5
complaint_0049,skincare_47525,Charcoal Toothpaste,"[""fraud""]",medium,2025-05-28,Fraud Issue: Charcoal Toothpaste,Fraud Issue: Charcoal Toothpaste. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,7,resolved,30:49.5
complaint_0050,household_80725,Kitchen Towel Holder,"[""fraud""]",low,2025-03-19,Fraud Issue: Kitchen Towel Holder,Fraud Issue: Kitchen Towel Holder. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,13,pending,30:49.5
complaint_0051,health_37019,Lutein Zeaxanthin Eye Health,"[""fraud""]",low,2025-06-04,Fraud Issue: Lutein Zeaxanthin Eye Health,Fraud Issue: Lutein Zeaxanthin Eye Health. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,16,resolved,30:49.5
complaint_0052,household_64290,Magnetic Knife Strip,"[""safety""]",medium,2025-05-02,Safety Issue: Magnetic Knife Strip,Safety Issue: Magnetic Knife Strip. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,13,investigating,30:49.5
complaint_0053,food_42675,Mustard Oil Cold Pressed,"[""safety""]",low,2025-05-30,Safety Issue: Mustard Oil Cold Pressed,Safety Issue: Mustard Oil Cold Pressed. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,24,investigating,30:49.5
complaint_0054,food_11086,Sunflower Seeds Roasted,"[""misleading""]",high,2025-05-27,Misleading Issue: Sunflower Seeds Roasted,Misleading Issue: Sunflower Seeds Roasted. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,14,resolved,30:49.5
complaint_0055,food_19241,Green Tea Premium,"[""misleading""]",medium,2025-06-07,Misleading Issue: Green Tea Premium,Misleading Issue: Green Tea Premium. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,0,investigating,30:49.5
complaint_0056,health_37019,Lutein Zeaxanthin Eye Health,"[""quality""]",low,2025-07-25,Quality Issue: Lutein Zeaxanthin Eye Health,Quality Issue: Lutein Zeaxanthin Eye Health. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,13,investigating,30:49.5
complaint_0057,household_70350,Cutting Board Bamboo,"[""quality""]",low,2025-04-28,Quality Issue: Cutting Board Bamboo,Quality Issue: Cutting Board Bamboo. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,14,pending,30:49.5
complaint_0058,electronics_73424,Smart Doorbell Camera,"[""fraud""]",medium,2025-03-22,Fraud Issue: Smart Doorbell Camera,Fraud Issue: Smart Doorbell Camera. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,20,pending,30:49.5
complaint_0059,skincare_50410,Niacinamide Serum 10%,"[""fraud""]",critical,2025-05-16,Fraud Issue: Niacinamide Serum 10%,Fraud Issue: Niacinamide Serum 10%. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,20,pending,30:49.5
complaint_0060,fashion_82481,Titan Women Silver Watch,"[""quality""]",low,2025-03-31,Quality Issue: Titan Women Silver Watch,Quality Issue: Titan Women Silver Watch. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,0,resolved,30:49.5
complaint_0061,skincare_60782,Cucumber Face Pack,"[""safety""]",medium,2025-07-29,Safety Issue: Cucumber Face Pack,Safety Issue: Cucumber Face Pack. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,25,investigating,30:49.5
complaint_0062,fashion_21715,Wrangler Men Blue Jeans,"[""safety""]",low,2025-05-02,Safety Issue: Wrangler Men Blue Jeans,Safety Issue: Wrangler Men Blue Jeans. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,9,resolved,30:49.5
complaint_0063,electronics_29557,Wireless Presenter Remote,"[""fraud""]",low,2025-04-03,Fraud Issue: Wireless Presenter Remote,Fraud Issue: Wireless Presenter Remote. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,0,investigating,30:49.5
complaint_0064,electronics_13828,Smart Home Security Camera,"[""fraud""]",low,2025-04-11,Fraud Issue: Smart Home Security Camera,Fraud Issue: Smart Home Security Camera. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,4,investigating,30:49.5
complaint_0065,food_94788,Oats Steel Cut,"[""fraud""]",low,2025-06-12,Fraud Issue: Oats Steel Cut,Fraud Issue: Oats Steel Cut. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,0,pending,30:49.5
complaint_0066,electronics_62400,Bluetooth Portable Speaker,"[""fraud""]",medium,2025-06-29,Fraud Issue: Bluetooth Portable Speaker,Fraud Issue: Bluetooth Portable Speaker. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,20,pending,30:49.5
complaint_0067,electronics_82445,Smart Thermostat,"[""safety""]",low,2025-03-17,Safety Issue: Smart Thermostat,Safety Issue: Smart Thermostat. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,10,pending,30:49.5
complaint_0068,health_49179,Psyllium Husk Powder,"[""quality""]",low,2025-08-15,Quality Issue: Psyllium Husk Powder,Quality Issue: Psyllium Husk Powder. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,9,resolved,30:49.5
complaint_0069,electronics_91958,Electric Kettle 1.5L,"[""fraud""]",low,2025-08-01,Fraud Issue: Electric Kettle 1.5L,Fraud Issue: Electric Kettle 1.5L. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,3,pending,30:49.5
complaint_0070,household_26893,Kitchen Timer Digital,"[""misleading""]",medium,2025-04-10,Misleading Issue: Kitchen Timer Digital,Misleading Issue: Kitchen Timer Digital. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,6,investigating,30:49.5
complaint_0071,fashion_46911,Mufti Men Check Blue Shirt,"[""misleading""]",low,2025-04-21,Misleading Issue: Mufti Men Check Blue Shirt,Misleading Issue: Mufti Men Check Blue Shirt. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,11,resolved,30:49.5
complaint_0072,electronics_59069,Portable Bluetooth Printer,"[""quality""]",medium,2025-07-29,Quality Issue: Portable Bluetooth Printer,Quality Issue: Portable Bluetooth Printer. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,16,pending,30:49.5
complaint_0073,fashion_99052,Puma Men Future Cat Trainers,"[""fraud""]",low,2025-08-13,Fraud Issue: Puma Men Future Cat Trainers,Fraud Issue: Puma Men Future Cat Trainers. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,7,resolved,30:49.5
complaint_0074,electronics_10486,Wireless Charger Stand,"[""quality""]",medium,2025-03-17,Quality Issue: Wireless Charger Stand,Quality Issue: Wireless Charger Stand. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,13,resolved,30:49.5
complaint_0075,household_91544,Rolling Pin Wooden,"[""quality""]",high,2025-07-06,Quality Issue: Rolling Pin Wooden,Quality Issue: Rolling Pin Wooden. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,7,pending,30:49.5
complaint_0076,electronics_70488,Bluetooth Earbuds True Wireless,"[""safety""]",high,2025-03-01,Safety Issue: Bluetooth Earbuds True Wireless,Safety Issue: Bluetooth Earbuds True Wireless. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,13,resolved,30:49.5
complaint_0077,health_84931,Rhodiola Rosea Capsules,"[""misleading""]",medium,2025-08-10,Misleading Issue: Rhodiola Rosea Capsules,Misleading Issue: Rhodiola Rosea Capsules. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,3,pending,30:49.5
complaint_0078,health_91099,Omega-3 Fish Oil Capsules,"[""quality""]",critical,2025-03-03,Quality Issue: Omega-3 Fish Oil Capsules,Quality Issue: Omega-3 Fish Oil Capsules. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,21,resolved,30:49.5
complaint_0079,skincare_47525,Charcoal Toothpaste,"[""misleading""]",low,2025-07-31,Misleading Issue: Charcoal Toothpaste,Misleading Issue: Charcoal Toothpaste. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,5,resolved,30:49.5
complaint_0080,skincare_40265,Rice Water Hair Spray,"[""quality""]",low,2025-03-20,Quality Issue: Rice Water Hair Spray,Quality Issue: Rice Water Hair Spray. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,12,resolved,30:49.5
complaint_0081,skincare_67698,Avocado Hair Mask,"[""misleading""]",high,2025-05-20,Misleading Issue: Avocado Hair Mask,Misleading Issue: Avocado Hair Mask. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,3,resolved,30:49.5
complaint_0082,skincare_59213,Castor Oil Pure,"[""fraud""]",low,2025-08-01,Fraud Issue: Castor Oil Pure,Fraud Issue: Castor Oil Pure. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,15,resolved,30:49.5
complaint_0083,health_86567,B-Complex Vitamins,"[""safety""]",medium,2025-02-23,Safety Issue: B-Complex Vitamins,Safety Issue: B-Complex Vitamins. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,14,resolved,30:49.5
complaint_0084,electronics_92738,Wireless Bluetooth Headphones,"[""quality""]",medium,2025-03-08,Quality Issue: Wireless Bluetooth Headphones,Quality Issue: Wireless Bluetooth Headphones. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,10,investigating,30:49.5
complaint_0085,health_22545,Herbal Cough Syrup,"[""misleading""]",low,2025-06-09,Misleading Issue: Herbal Cough Syrup,Misleading Issue: Herbal Cough Syrup. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,12,investigating,30:49.5
complaint_0086,food_54576,Brown Rice Organic,"[""fraud""]",medium,2025-07-19,Fraud Issue: Brown Rice Organic,Fraud Issue: Brown Rice Organic. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,23,pending,30:49.5
complaint_0087,household_87686,Mortar and Pestle Granite,"[""misleading""]",medium,2025-04-15,Misleading Issue: Mortar and Pestle Granite,Misleading Issue: Mortar and Pestle Granite. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,0,resolved,30:49.5
complaint_0088,health_79861,Plant-Based Protein Powder,"[""safety""]",high,2025-07-16,Safety Issue: Plant-Based Protein Powder,Safety Issue: Plant-Based Protein Powder. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,25,resolved,30:49.5
complaint_0089,health_64785,Saw Palmetto Extract,"[""misleading""]",medium,2025-03-02,Misleading Issue: Saw Palmetto Extract,Misleading Issue: Saw Palmetto Extract. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,13,pending,30:49.5
complaint_0090,health_63250,Collagen Peptides Powder,"[""misleading""]",low,2025-05-13,Misleading Issue: Collagen Peptides Powder,Misleading Issue: Collagen Peptides Powder. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,9,pending,30:49.5
complaint_0091,food_53823,Millet Flour Multi-grain,"[""quality""]",critical,2025-06-26,Quality Issue: Millet Flour Multi-grain,Quality Issue: Millet Flour Multi-grain. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,2,pending,30:49.5
complaint_0092,food_37435,Flax Seeds Ground,"[""fraud""]",medium,2025-08-02,Fraud Issue: Flax Seeds Ground,Fraud Issue: Flax Seeds Ground. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,13,pending,30:49.5
complaint_0093,electronics_52558,Wireless Phone Charger,"[""safety""]",medium,2025-03-25,Safety Issue: Wireless Phone Charger,Safety Issue: Wireless Phone Charger. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,6,pending,30:49.5
complaint_0094,electronics_42499,Bluetooth Shower Speaker,"[""quality""]",low,2025-05-29,Quality Issue: Bluetooth Shower Speaker,Quality Issue: Bluetooth Shower Speaker. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,18,investigating,30:49.5
complaint_0095,electronics_10486,Wireless Charger Stand,"[""quality""]",low,2025-06-09,Quality Issue: Wireless Charger Stand,Quality Issue: Wireless Charger Stand. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,15,resolved,30:49.5
complaint_0096,skincare_80720,Charcoal Face Wash,"[""fraud""]",low,2025-03-12,Fraud Issue: Charcoal Face Wash,Fraud Issue: Charcoal Face Wash. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,9,investigating,30:49.5
complaint_0097,fashion_67405,Lino Perros Women Black Handbag,"[""fraud""]",low,2025-04-27,Fraud Issue: Lino Perros Women Black Handbag,Fraud Issue: Lino Perros Women Black Handbag. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,25,resolved,30:49.5
complaint_0098,skincare_50176,Oatmeal Face Cleanser,"[""quality""]",high,2025-03-04,Quality Issue: Oatmeal Face Cleanser,Quality Issue: Oatmeal Face Cleanser. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,15,investigating,30:49.5
complaint_0099,health_55140,Iron Folic Acid Tablets,"[""safety""]",high,2025-05-27,Safety Issue: Iron Folic Acid Tablets,Safety Issue: Iron Folic Acid Tablets. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,2,investigating,30:49.5
complaint_0100,electronics_58691,Smart Band Fitness Tracker,"[""safety""]",critical,2025-07-24,Safety Issue: Smart Band Fitness Tracker,Safety Issue: Smart Band Fitness Tracker. This issue has been very frustrating and I am providing this detailed description to seek a resolution as soon as possible.,8,pending,30:49.5
